|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|Topico 5|Topico 6|Topico 7|Topico 8|Topico 9|id|dominant_topic
41|0.0|0.0|0.0|0.1204|0.0|0.0|0.0|0.8796|0.0|0.0|103|7
42|0.0|0.0952|0.0955|0.0329|0.0|0.0|0.0746|0.5557|0.0774|0.0688|105|7
43|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|107|8
44|0.0608|0.0|0.0|0.0|0.0604|0.8239|0.0|0.0549|0.0|0.0|108|5
45|0.026|0.1669|0.0|0.5954|0.0406|0.0|0.1711|0.0|0.0|0.0|109|3
46|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|110|8
47|0.0|0.1011|0.157|0.0|0.0547|0.0159|0.1517|0.0762|0.0|0.4434|112|9
48|0.0|0.0716|0.0756|0.6384|0.0344|0.0|0.0|0.18|0.0|0.0|115|3
49|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|116|2
50|0.0|0.0505|0.7907|0.0|0.0154|0.0164|0.0|0.0|0.0|0.1271|118|2
51|0.0|0.0312|0.0532|0.0764|0.5506|0.1141|0.09|0.0276|0.0|0.0568|119|4
52|0.0|0.0433|0.0855|0.0|0.0363|0.0422|0.0|0.0|0.0|0.7927|123|9
53|0.0|0.6682|0.2517|0.0|0.0|0.0|0.0|0.0|0.0|0.0801|125|1
54|0.0|0.0184|0.105|0.0|0.6851|0.0|0.0184|0.0985|0.0|0.0745|127|4
55|0.0|0.0372|0.0|0.107|0.7395|0.0|0.0396|0.0767|0.0|0.0|130|4
56|0.0|0.5207|0.0|0.1|0.0898|0.0678|0.1171|0.0|0.1046|0.0|131|1
57|0.0|0.6984|0.0|0.2552|0.0463|0.0|0.0|0.0|0.0|0.0|135|1
58|0.0|0.4539|0.0304|0.0939|0.1208|0.0848|0.0981|0.031|0.0127|0.0743|136|1
59|0.0|0.0|0.0|0.0|0.0|0.1907|0.0|0.8093|0.0|0.0|137|7
60|0.0|0.0828|0.0585|0.0613|0.1843|0.0351|0.0|0.4421|0.1358|0.0|139|7
61|0.0|0.1117|0.6327|0.0226|0.0|0.0512|0.0|0.0498|0.0|0.1319|140|2
62|0.0|0.1349|0.0|0.4146|0.1414|0.2039|0.0|0.0537|0.0|0.0514|142|3
63|0.0|0.0|0.0|0.1217|0.1562|0.0|0.7221|0.0|0.0|0.0|147|6
64|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|148|0
65|0.0|0.0426|0.0205|0.043|0.1764|0.0188|0.0584|0.1687|0.0|0.4716|149|9
66|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|153|3
67|0.0|0.1138|0.0503|0.0941|0.5005|0.0|0.0955|0.0208|0.0|0.1249|154|4
68|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|161|2
69|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|164|2
70|0.0|0.0|0.0|0.0325|0.0773|0.783|0.0|0.1073|0.0|0.0|167|5
71|0.0|0.1024|0.7967|0.0532|0.0477|0.0|0.0|0.0|0.0|0.0|171|2
72|0.9384|0.0|0.0|0.0616|0.0|0.0|0.0|0.0|0.0|0.0|172|0
73|0.0|0.0|0.2318|0.0|0.0|0.0|0.0|0.1817|0.2075|0.379|173|9
74|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|176|0
75|0.0|0.0588|0.0|0.146|0.6168|0.0775|0.0573|0.0|0.0|0.0436|182|4
76|0.1391|0.0|0.0326|0.0707|0.0|0.0|0.0|0.7576|0.0|0.0|183|7
77|0.0|0.0|0.0|0.4482|0.0|0.5518|0.0|0.0|0.0|0.0|185|3
78|0.0|0.5974|0.1938|0.1325|0.0|0.0|0.0|0.0|0.0|0.0763|187|1
79|0.0|0.0697|0.1428|0.0767|0.0437|0.0|0.0877|0.5078|0.0|0.0717|192|7
80|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|194|7
81|0.0|0.0713|0.0741|0.0554|0.5376|0.0|0.1664|0.0|0.0|0.0953|195|4
82|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|202|8
83|0.0772|0.0|0.506|0.0|0.0368|0.1771|0.0162|0.1094|0.0172|0.0601|205|2
84|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|206|2
85|0.0|0.0209|0.0|0.8397|0.0|0.0|0.1394|0.0|0.0|0.0|208|3
86|0.0|0.1249|0.0|0.7443|0.0839|0.0|0.0468|0.0|0.0|0.0|210|3
87|0.5981|0.0|0.0|0.0|0.0|0.0|0.0|0.4019|0.0|0.0|212|0
88|0.0|0.0|0.6287|0.0|0.0|0.0|0.0|0.0|0.0|0.3713|214|2
89|0.0|0.0822|0.7007|0.0|0.0646|0.0|0.0|0.0|0.0|0.1526|216|2
90|0.0|0.0|0.0|0.0|0.9206|0.0794|0.0|0.0|0.0|0.0|217|4
91|0.8764|0.0|0.0|0.0|0.0|0.1236|0.0|0.0|0.0|0.0|218|0
92|0.0|0.0|0.8069|0.0|0.0494|0.0|0.0|0.0|0.0|0.1438|224|2
93|0.0|0.1426|0.038|0.3464|0.1291|0.0|0.2415|0.0745|0.0|0.0278|228|3
94|0.0|0.3829|0.0151|0.178|0.0804|0.0391|0.1578|0.0459|0.0|0.1008|229|1
95|0.6145|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.3855|0.0|230|0
96|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|232|8
97|0.0|0.0|0.0|0.0|0.0|0.8656|0.0|0.0|0.0|0.1344|235|5
98|0.0|0.4466|0.1185|0.1173|0.0537|0.0367|0.0346|0.0173|0.0|0.1752|240|1
99|0.0146|0.1145|0.5932|0.1119|0.0478|0.0157|0.0332|0.0147|0.0|0.0544|247|2
100|0.0|0.1211|0.0|0.8566|0.0|0.0|0.0223|0.0|0.0|0.0|249|3
101|0.0|0.0299|0.0289|0.0984|0.8164|0.0264|0.0|0.0|0.0|0.0|250|4
102|0.0|0.0744|0.1342|0.1445|0.4984|0.1157|0.0|0.0329|0.0|0.0|252|4
103|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|258|7
104|0.0|0.1291|0.0|0.1427|0.0255|0.0|0.7027|0.0|0.0|0.0|259|6
105|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|260|0
106|0.2299|0.0|0.0|0.2478|0.0|0.0|0.0|0.5223|0.0|0.0|261|7
107|0.1079|0.0523|0.1631|0.0|0.0|0.0521|0.0|0.6246|0.0|0.0|263|7
108|0.3095|0.0|0.0|0.0915|0.0|0.0|0.0|0.599|0.0|0.0|264|7
109|0.0488|0.063|0.0753|0.181|0.0145|0.0137|0.5747|0.029|0.0|0.0|265|6
110|0.0|0.7111|0.07|0.0207|0.0|0.0|0.0227|0.0232|0.0|0.1523|267|1
111|0.0147|0.0955|0.0668|0.1823|0.0876|0.0509|0.4333|0.0615|0.0|0.0074|268|6
112|0.0|0.1842|0.0|0.2041|0.0751|0.0|0.481|0.0556|0.0|0.0|270|6
113|0.5414|0.0|0.1206|0.0|0.0503|0.0506|0.0|0.1809|0.0|0.0563|271|0
114|0.0834|0.0867|0.0|0.439|0.0|0.2117|0.0|0.0852|0.0|0.094|277|3
115|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|279|0
116|0.802|0.1043|0.0185|0.0|0.0|0.0316|0.0|0.0435|0.0|0.0|284|0
117|0.0|0.7916|0.0|0.091|0.0|0.0|0.1174|0.0|0.0|0.0|285|1
118|0.0|0.0|0.0|0.1574|0.0661|0.0|0.7765|0.0|0.0|0.0|287|6
119|0.0271|0.1969|0.322|0.0|0.0835|0.0261|0.1124|0.0|0.0|0.232|288|2
120|0.0|0.1192|0.0|0.7825|0.0|0.0|0.0982|0.0|0.0|0.0|289|3
121|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|293|5
122|0.6782|0.0|0.0|0.0|0.0|0.0|0.0|0.3218|0.0|0.0|294|0
123|0.0|0.8784|0.0|0.0419|0.0|0.0798|0.0|0.0|0.0|0.0|295|1
124|0.0|0.0|0.0587|0.4841|0.0|0.1406|0.1866|0.0|0.0|0.1299|297|3
125|0.0|0.0|0.0|0.2785|0.0|0.0|0.7215|0.0|0.0|0.0|298|6
