dominant_topic,document_id,document_score
4,4,0.3015
8,6,0.6724
3,9,0.4067
7,12,1.0
9,13,0.7142
1,16,0.5048
4,17,0.2202
9,21,0.6653
7,23,0.8636
3,24,0.6213
5,25,1.0
6,27,0.6151
1,28,0.7316
6,30,0.4544
0,31,1.0
6,33,0.7793
2,36,0.5051
0,37,0.8237
7,39,0.8252
3,40,0.6007
9,42,0.7595
2,46,0.7862
6,47,0.9176
9,51,0.7552
0,53,1.0
9,55,0.4067
9,57,0.2797
4,59,0.6126
2,61,0.0
1,62,0.2899
9,64,0.7226
4,65,0.4929
5,72,1.0
0,75,1.0
0,76,1.0
5,81,0.8883
0,82,0.6624
6,83,0.7861
5,89,0.7316
5,101,0.8808
2,102,0.4907
7,103,0.8796
7,105,0.5557
8,107,1.0
5,108,0.8239
3,109,0.5954
8,110,1.0
9,112,0.4434
3,115,0.6384
2,116,1.0
2,118,0.7907
4,119,0.5506
9,123,0.7927
1,125,0.6682
4,127,0.6851
4,130,0.7395
1,131,0.5207
1,135,0.6984
1,136,0.4539
7,137,0.8093
7,139,0.4421
2,140,0.6327
3,142,0.4146
6,147,0.7221
0,148,1.0
9,149,0.4716
3,153,1.0
4,154,0.5005
2,161,1.0
2,164,1.0
5,167,0.783
2,171,0.7967
0,172,0.9384
9,173,0.379
0,176,1.0
4,182,0.6168
7,183,0.7576
3,185,0.5518
1,187,0.5974
7,192,0.5078
7,194,1.0
4,195,0.5376
8,202,1.0
2,205,0.506
2,206,1.0
3,208,0.8397
3,210,0.7443
0,212,0.5981
2,214,0.6287
2,216,0.7007
4,217,0.9206
0,218,0.8764
2,224,0.8069
3,228,0.3464
1,229,0.3829
0,230,0.6145
8,232,1.0
5,235,0.8656
1,240,0.4466
2,247,0.5932
3,249,0.8566
4,250,0.8164
4,252,0.4984
7,258,0.0
6,259,0.7027
0,260,1.0
7,261,0.5223
7,263,0.6246
7,264,0.599
6,265,0.5747
1,267,0.7111
6,268,0.4333
6,270,0.481
0,271,0.5414
3,277,0.439
0,279,0.0
0,284,0.802
1,285,0.7916
6,287,0.7765
2,288,0.322
3,289,0.7825
5,293,1.0
0,294,0.6782
1,295,0.8784
3,297,0.4841
6,298,0.7215
7,305,1.0
0,308,1.0
1,311,0.7833
1,317,0.4379
7,325,0.6551
6,326,0.5262
9,330,0.6719
5,332,0.7361
2,334,0.5369
7,340,0.5952
5,342,0.9023
5,343,1.0
1,345,0.7038
7,346,0.4646
9,350,0.5063
1,351,0.7787
4,352,1.0
9,353,0.736
6,358,0.5032
7,365,0.9151
5,366,0.7974
7,368,1.0
9,369,0.8058
3,370,0.5018
1,374,0.2908
7,375,0.8583
6,378,0.827
0,381,1.0
3,385,0.5004
5,386,0.6212
5,393,0.6867
4,394,1.0
6,395,0.5939
3,396,0.5039
9,398,1.0
0,401,1.0
6,403,0.4164
2,406,0.9125
5,410,0.0
7,411,0.2728
0,412,0.5296
1,414,0.4688
3,416,0.4693
1,418,0.2255
2,422,0.4885
8,424,0.9622
7,426,1.0
5,427,1.0
9,429,0.6453
8,430,0.8968
2,433,0.5738
4,435,0.6581
3,437,0.594
5,449,1.0
9,455,0.8507
7,456,0.3746
2,457,0.8275
9,459,0.5518
3,462,0.6789
1,463,0.6782
1,465,0.4253
9,466,0.253
5,469,1.0
2,471,1.0
9,473,0.5135
1,477,0.5767
7,478,0.7414
4,480,0.662
6,483,1.0
6,484,0.6499
1,487,0.7321
9,488,0.6612
4,491,0.8429
7,492,0.5899
6,503,0.6833
