|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|Topico 5|Topico 6|Topico 7|Topico 8|Topico 9|Topico 10|Topico 11|Topico 12|Topico 13|Topico 14|id|dominant_topic
78|0.0|0.0987|0.0|0.061|0.1869|0.0777|0.0|0.0|0.0|0.5757|0.0|0.0|0.0|0.0|0.0|187|9
79|0.0202|0.023|0.0332|0.0183|0.1033|0.6698|0.0|0.0|0.0|0.0|0.0|0.0778|0.0202|0.0|0.0342|192|5
80|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|194|0
81|0.0|0.0167|0.1275|0.0338|0.0576|0.0162|0.6358|0.0|0.0|0.0558|0.0|0.0|0.022|0.0345|0.0|195|6
82|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|202|10
83|0.1385|0.0201|0.0|0.0|0.48|0.0994|0.0|0.0734|0.076|0.0|0.0171|0.0|0.0|0.079|0.0166|205|4
84|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|206|4
85|0.0|0.0|0.1203|0.0171|0.0|0.0149|0.0153|0.0|0.0|0.018|0.0|0.0|0.8145|0.0|0.0|208|12
86|0.0|0.0|0.0408|0.0|0.0|0.0|0.1044|0.0|0.0|0.1095|0.0|0.0|0.7454|0.0|0.0|210|12
87|0.2987|0.0|0.0|0.0|0.0|0.2012|0.0|0.5001|0.0|0.0|0.0|0.0|0.0|0.0|0.0|212|7
88|0.0|0.0|0.0|0.3827|0.6173|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|214|4
89|0.0123|0.1261|0.0|0.1022|0.6499|0.025|0.0|0.0|0.0|0.0138|0.0|0.0|0.0135|0.0|0.0572|216|4
90|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8005|0.0|0.0|0.1995|217|11
91|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8735|0.1265|0.0|0.0|0.0|0.0|0.0|0.0|218|7
92|0.0|0.0|0.0|0.1319|0.7688|0.0|0.0|0.0|0.0|0.0|0.0|0.0494|0.0|0.0499|0.0|224|4
