dominant_topic,document_id,document_score
11,4,0.6177
10,6,0.699
12,9,0.3999
0,12,0.8963
3,13,0.6065
9,16,0.5251
6,17,0.2656
3,21,0.6434
0,23,1.0
12,24,0.6435
8,25,1.0
2,27,0.582
9,28,0.7197
2,30,0.4352
7,31,1.0
2,33,0.7689
4,36,0.5072
7,37,1.0
0,39,0.8768
12,40,0.652
3,42,0.8747
4,46,0.7937
2,47,0.9171
13,51,0.8572
7,53,1.0
13,55,0.4368
3,57,0.3076
6,59,0.5343
13,61,1.0
1,62,0.2398
3,64,0.7135
6,65,0.7854
11,72,0.8956
7,75,1.0
7,76,1.0
8,81,0.7845
7,82,0.6105
2,83,0.7769
8,89,0.6607
11,101,0.7708
4,102,0.4293
5,103,0.8617
5,105,0.7435
10,107,1.0
8,108,0.7859
6,109,0.5866
5,110,1.0
3,112,0.475
12,115,0.7637
4,116,1.0
4,118,0.734
6,119,0.6663
13,123,0.8595
1,125,0.7163
14,127,0.7801
6,130,0.9065
9,131,0.5277
9,135,0.8119
9,136,0.4585
5,137,0.9366
11,139,0.6215
4,140,0.6796
12,142,0.4261
2,147,0.6441
7,148,1.0
14,149,0.6435
12,153,1.0
11,154,0.4439
4,161,1.0
13,164,0.4905
8,167,0.8959
4,171,0.7227
7,172,0.8781
3,173,0.4016
7,176,1.0
6,182,0.7587
0,183,0.796
6,185,0.6269
9,187,0.5757
5,192,0.6698
0,194,1.0
6,195,0.6358
10,202,1.0
4,205,0.48
4,206,1.0
12,208,0.8145
12,210,0.7454
7,212,0.5001
4,214,0.6173
4,216,0.6499
11,217,0.8005
7,218,0.8735
4,224,0.7688
12,228,0.3355
9,229,0.4323
7,230,0.6083
10,232,1.0
8,235,0.8799
1,240,0.5269
4,247,0.5997
12,249,0.8549
14,250,0.7549
6,252,0.5285
0,258,1.0
2,259,0.6583
7,260,1.0
6,261,0.7197
0,263,0.6329
0,264,0.7155
2,265,0.61
9,267,0.687
2,268,0.4422
2,270,0.4759
7,271,0.5619
6,277,0.6659
7,279,0.0
7,284,0.7679
9,285,0.5798
2,287,0.7456
4,288,0.2916
2,289,0.6778
8,293,1.0
7,294,0.6533
9,295,0.7705
12,297,0.618
2,298,1.0
0,305,1.0
7,308,1.0
1,311,0.9149
9,317,0.7634
11,325,0.6006
12,326,0.5431
13,330,0.7613
11,332,0.7192
4,334,0.4558
0,340,0.6373
11,342,0.879
0,343,0.0
9,345,0.6568
5,346,0.5268
3,350,0.5564
9,351,0.7965
14,352,1.0
3,353,0.7082
2,358,0.4541
0,365,0.8075
0,366,0.7976
0,368,1.0
3,369,0.8966
6,370,0.5368
9,374,0.351
0,375,0.9131
2,378,0.936
7,381,1.0
12,385,0.4517
11,386,0.7797
8,393,0.7581
14,394,0.8612
2,395,0.5256
12,396,0.4612
3,398,1.0
7,401,1.0
2,403,0.3816
4,406,0.8779
8,410,0.5055
5,411,0.5281
7,412,0.5182
9,414,0.4912
12,416,0.4847
9,418,0.2722
4,422,0.4699
10,424,0.8742
0,426,1.0
0,427,1.0
13,429,0.8486
10,430,0.9229
4,433,0.5432
14,435,0.7038
12,437,0.5983
8,449,0.9489
3,455,0.9613
5,456,0.5079
4,457,0.8283
3,459,0.5648
12,462,0.7007
9,463,0.6664
9,465,0.4437
3,466,0.4268
11,469,1.0
4,471,1.0
13,473,0.6321
9,477,0.5806
0,478,0.7642
14,480,0.7079
2,483,0.774
2,484,0.5687
6,487,0.6224
1,488,1.0
6,491,1.0
0,492,0.6612
2,503,0.6189
