,dominant_topic,document_id,document_score
0,4,4,0.15291028940378054
1,2,6,1.1246437532436482
2,7,9,0.2618393297926218
3,6,12,0.4298792347584121
4,5,13,0.28130024161677525
5,3,16,0.2663072797060495
6,3,17,0.23685380688858437
7,5,21,0.7953132153589189
8,6,23,0.2655663723505338
9,7,24,0.45373925130073883
10,9,25,0.10096525488473014
11,1,27,0.5408844650442354
12,3,28,0.35605569966281764
13,1,30,0.8089930843611237
14,8,31,0.3389712786269805
15,1,33,0.6868622211535413
16,0,36,0.5254568398043937
17,8,37,0.21596338109334048
18,6,39,0.6951475707170641
19,7,40,0.4945024519470655
20,5,42,0.5233508529447553
21,0,46,0.30610328547894267
22,1,47,0.4439274963104484
23,9,51,0.6089142823158722
24,8,53,0.08782919785523906
25,9,55,0.4062527997080371
26,5,57,0.5695860783763376
27,3,59,0.4462544277122654
28,0,61,0.043821380224512006
29,3,62,0.1784696475990165
30,5,64,0.6123680337698543
31,3,65,0.17497468848949538
32,4,72,0.2159069085181991
33,8,75,0.07581508439634414
34,8,76,0.1425828689324671
35,9,81,0.5549997433601291
36,8,82,0.6765869519463356
37,1,83,0.8180872276934561
38,9,89,0.5678140034610552
39,4,101,0.4806870656877045
40,0,102,0.377355815306727
41,4,103,0.5100469582322416
42,6,105,0.5447786608476264
43,2,107,0.7497224519561762
44,9,108,0.47658766212177517
45,7,109,0.5906713802401248
46,2,110,0.3910855465576148
47,5,112,0.7013412043961095
48,7,115,0.49994787783141453
49,0,116,0.14236829197609563
50,0,118,0.8315391962522815
51,7,119,0.45408940439535384
52,9,123,0.5587894100187798
53,3,125,0.2001582058088139
54,9,127,0.44087115245295505
55,3,130,0.4670305629691577
56,3,131,0.42521586250008475
57,3,135,0.32609168162004015
58,3,136,0.5905032551902104
59,2,137,0.4103849249730648
60,4,139,0.5381031976046888
61,0,140,0.7021628381179407
62,7,142,0.23540147387774893
63,1,147,0.4561955865973119
64,8,148,0.14818193005648883
65,5,149,0.6006792897783532
66,7,153,0.13798172827762567
67,9,154,0.5349079481365704
68,0,161,0.3276546970138952
69,0,164,0.30058353513283476
70,9,167,0.3593737599563804
71,0,171,0.39896601549865096
72,8,172,0.5491903305140339
73,5,173,0.18298388489179113
74,8,176,0.08782919785523906
75,7,182,0.5674288988847768
76,6,183,0.6646031078481425
77,7,185,0.27039785122003074
78,3,187,0.2271920020530729
79,4,192,0.6351625060682364
80,6,194,0.3301418763895771
81,7,195,0.47440769080685624
82,2,202,0.4200330448261466
83,0,205,0.5761639832626515
84,0,206,0.20522909172136125
85,7,208,0.5626068372521726
86,7,210,0.3994477925516921
87,8,212,0.18080631564213429
88,0,214,0.17886110877364736
89,0,216,0.7225976074322283
90,9,217,0.497093563578856
91,8,218,0.3198351200742121
92,0,224,0.4111643008886682
93,7,228,0.5975777268401433
94,3,229,0.4425311314008114
95,8,230,0.14567927149254162
96,2,232,0.3819013494950631
97,9,235,0.17217294000064115
98,3,240,0.5081769893444039
99,0,247,0.6349020654041477
100,7,249,0.5717718361592617
101,3,250,0.3760136803654629
102,4,252,0.43826949274791804
103,6,258,0.13949195112418317
104,1,259,0.6833948569439044
105,8,260,0.13939465032294976
106,4,261,0.4605760175574097
107,6,263,0.29360226888582375
108,6,264,0.23775998702675843
109,1,265,1.0332017772948496
110,3,267,0.4726037463358986
111,1,268,0.9606886840839257
112,1,270,0.5736112767985757
113,8,271,0.4465772102143388
114,7,277,0.16187392547435742
115,8,279,0.038724791251664774
116,8,284,1.5176166059931862
