|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|Topico 5|Topico 6|Topico 7|Topico 8|Topico 9|id|dominant_topic
51|0.0516|0.0909|0.0|0.031|0.1254|0.0553|0.053|0.5378|0.0|0.0551|119|7
52|0.0721|0.0|0.0|0.0354|0.0|0.0|0.0|0.0|0.0|0.8925|123|9
53|0.2524|0.0|0.0|0.4942|0.0|0.0918|0.0|0.1617|0.0|0.0|125|3
54|0.096|0.0|0.0|0.1169|0.1612|0.0599|0.0|0.0|0.0|0.5661|127|9
55|0.0|0.0465|0.0|0.732|0.0|0.0|0.0482|0.1327|0.0|0.0405|130|3
56|0.0|0.1243|0.137|0.4647|0.0782|0.0|0.0|0.1196|0.0|0.0762|131|3
57|0.0|0.0|0.0|0.7005|0.0978|0.0|0.0|0.2017|0.0|0.0|135|3
58|0.0336|0.0907|0.0565|0.4533|0.0783|0.0608|0.0|0.1241|0.0|0.1027|136|3
59|0.0|0.0|0.8018|0.0|0.1354|0.0|0.0629|0.0|0.0|0.0|137|2
60|0.0515|0.0|0.081|0.0244|0.5595|0.0|0.1151|0.0849|0.0|0.0836|139|4
61|0.6605|0.0|0.0|0.1102|0.0|0.0863|0.0|0.0554|0.0|0.0876|140|0
62|0.0|0.0|0.0|0.2|0.0617|0.0604|0.0716|0.4996|0.0|0.1066|142|7
63|0.0|0.7842|0.0|0.1114|0.0|0.0|0.0|0.1043|0.0|0.0|147|1
64|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|148|8
65|0.0175|0.0495|0.0|0.0663|0.0541|0.5167|0.1168|0.113|0.0|0.0661|149|5
66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|153|7
67|0.0546|0.1068|0.016|0.1855|0.0179|0.1526|0.0156|0.1283|0.0|0.3226|154|9
68|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|161|0
69|0.9035|0.0|0.0|0.0|0.0|0.0965|0.0|0.0|0.0|0.0|164|0
70|0.0|0.0366|0.0|0.1687|0.0408|0.0|0.0|0.0398|0.0|0.7141|167|9
71|0.6929|0.0|0.0|0.0875|0.0892|0.0366|0.0|0.0938|0.0|0.0|171|0
72|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0604|0.9396|0.0|172|8
73|0.1981|0.0|0.302|0.0|0.0|0.3791|0.1208|0.0|0.0|0.0|173|5
74|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|176|8
75|0.0|0.082|0.0|0.0847|0.0294|0.0281|0.0|0.6323|0.0|0.1435|182|7
76|0.0264|0.0256|0.0|0.0253|0.0|0.0|0.756|0.0556|0.1112|0.0|183|6
77|0.0|0.0|0.0|0.1182|0.0|0.0|0.0|0.6566|0.0|0.2252|185|7
78|0.1739|0.0|0.0|0.451|0.0548|0.0618|0.0|0.2585|0.0|0.0|187|3
79|0.1038|0.0645|0.0|0.1185|0.543|0.0553|0.0435|0.0563|0.0|0.0152|192|4
80|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|194|6
81|0.0631|0.205|0.0|0.1171|0.0|0.0519|0.0|0.5629|0.0|0.0|195|7
82|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|202|2
83|0.5674|0.0|0.0|0.022|0.107|0.0|0.0977|0.0|0.0834|0.1225|205|0
84|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|206|0
85|0.0|0.1766|0.0|0.041|0.0|0.0175|0.0|0.7648|0.0|0.0|208|7
86|0.0|0.0512|0.0|0.201|0.0|0.0|0.0|0.7478|0.0|0.0|210|7
87|0.0|0.0|0.2398|0.0|0.0|0.0|0.3107|0.0|0.4496|0.0|212|8
88|0.6184|0.0|0.0|0.0|0.0|0.3816|0.0|0.0|0.0|0.0|214|0
89|0.6787|0.0|0.0|0.0815|0.0437|0.1565|0.0131|0.0265|0.0|0.0|216|0
90|0.0|0.0|0.0|0.0404|0.0|0.0|0.0|0.0|0.0|0.9596|217|9
91|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|218|8
92|0.7254|0.0|0.0|0.0|0.1074|0.12|0.0|0.0|0.0|0.0472|224|0
93|0.0417|0.275|0.0|0.1908|0.0608|0.0446|0.0|0.3872|0.0|0.0|228|7
94|0.0163|0.1939|0.0|0.4079|0.058|0.0515|0.0|0.2038|0.0|0.0686|229|3
95|0.0|0.0|0.467|0.0|0.0|0.0|0.0|0.0|0.533|0.0|230|8
96|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|232|2
97|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|235|9
98|0.1152|0.0324|0.0|0.4353|0.0544|0.2025|0.0|0.1246|0.0|0.0356|240|3
99|0.5726|0.0485|0.0|0.1495|0.0319|0.0398|0.0146|0.1141|0.0146|0.0144|247|0
100|0.0|0.0268|0.0|0.0862|0.0294|0.0|0.0|0.8576|0.0|0.0|249|7
101|0.0774|0.0|0.0|0.5583|0.0|0.0|0.0|0.1502|0.0|0.2141|250|3
102|0.1159|0.0|0.0|0.0625|0.5375|0.0|0.0|0.2298|0.0|0.0543|252|4
103|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|258|6
104|0.0|0.6919|0.0|0.0897|0.0387|0.0278|0.0|0.1519|0.0|0.0|259|1
105|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|260|8
106|0.0|0.0|0.0|0.0|0.6492|0.0|0.0|0.1881|0.1627|0.0|261|4
107|0.1432|0.0|0.0|0.0413|0.1827|0.0417|0.4997|0.0|0.0914|0.0|263|6
108|0.0|0.0|0.0|0.0|0.1426|0.0|0.5303|0.0699|0.2572|0.0|264|6
109|0.0706|0.5382|0.0|0.0873|0.0|0.0135|0.0269|0.1642|0.0465|0.0527|265|1
110|0.0735|0.0236|0.0|0.5804|0.051|0.1478|0.0|0.0|0.0|0.1237|267|3
111|0.0625|0.4527|0.0|0.0939|0.0772|0.0234|0.0394|0.217|0.0158|0.0182|268|1
112|0.0|0.4799|0.0|0.2156|0.0705|0.0269|0.0|0.2072|0.0|0.0|270|1
113|0.1249|0.0|0.0|0.0|0.2141|0.0|0.0|0.0|0.5497|0.1113|271|8
114|0.0|0.0|0.0|0.0|0.0|0.0|0.2596|0.3549|0.105|0.2806|277|7
115|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|279|8
